2023-05-09 16:17:27,500 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.69, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=557002108)}
2023-05-09 16:17:27,502 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=557131228)}
2023-05-09 16:17:27,508 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.89, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=561539680)}
2023-05-09 16:17:27,508 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=561589341)}
2023-05-09 16:17:27,526 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.86, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=582142640)}
2023-05-09 16:17:27,531 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=587244923)}
2023-05-09 16:17:27,536 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.63, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=592070611)}
2023-05-09 16:17:27,536 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=592119348)}
2023-05-09 16:17:27,541 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.84, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=597428613)}
2023-05-09 16:17:27,545 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=601144331)}
2023-05-09 16:17:27,550 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.73, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=606112905)}
2023-05-09 16:17:27,552 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=607426759)}
2023-05-09 16:17:27,615 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.84, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=669789689)}
2023-05-09 16:17:27,618 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=674945505)}
2023-05-09 16:17:27,623 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27732.77, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=679531106)}
2023-05-09 16:17:27,623 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667047, nanoseconds=679594107)}
2023-05-09 16:17:27,633 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.00534, 'ap': 27733.06, 'as': 0.19, 't': Timestamp(seconds=1683667047, nanoseconds=687679735)}
2023-05-09 16:17:28,997 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.12542, 'ap': 27733.06, 'as': 0.19, 't': Timestamp(seconds=1683667049, nanoseconds=53272638)}
2023-05-09 16:17:29,031 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27733.06, 's': 0.00517, 't': Timestamp(seconds=1683667049, nanoseconds=80000000), 'i': 16586149, 'tks': 'B'}
2023-05-09 16:17:29,032 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.12542, 'ap': 27733.06, 'as': 0.18483, 't': Timestamp(seconds=1683667049, nanoseconds=87696730)}
2023-05-09 16:17:29,036 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.12542, 'ap': 27733.2, 'as': 0.03606, 't': Timestamp(seconds=1683667049, nanoseconds=92288122)}
2023-05-09 16:17:29,952 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27724.86, 'bs': 0.12542, 'ap': 27734.21, 'as': 0.19086, 't': Timestamp(seconds=1683667050, nanoseconds=7440457)}
