symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETH/USD,2023-05-10 07:07:00+00:00,1843.84,1843.85,1843.58,1843.85,0.9661,6.0,1843.6247096574
ETH/USD,2023-05-10 07:08:00+00:00,1844.65,1844.96,1844.65,1844.86,1.2139,9.0,1844.833127111
ETH/USD,2023-05-10 07:10:00+00:00,1844.47,1844.69,1844.35,1844.69,0.5782,4.0,1844.6408094085
ETH/USD,2023-05-10 07:11:00+00:00,1845.04,1845.04,1845.04,1845.04,0.0542,2.0,1845.04
ETH/USD,2023-05-10 07:12:00+00:00,1844.34,1845.46183,1844.34,1844.8,0.088215696,3.0,1844.6823108314
ETH/USD,2023-05-10 07:14:00+00:00,1844.79,1845.9691,1844.79,1845.18,1.114641209,4.0,1845.0436315159
ETH/USD,2023-05-10 07:15:00+00:00,1845.18,1845.7,1844.99,1845.05,3.2406,7.0,1845.1498565081
ETH/USD,2023-05-10 07:17:00+00:00,1845.4,1847.05,1845.4,1847.05,4.0226,17.0,1846.2947747725
ETH/USD,2023-05-10 07:18:00+00:00,1847.45,1847.68,1847.19,1847.3,0.1355,10.0,1847.4698081181
ETH/USD,2023-05-10 07:19:00+00:00,1847.16,1847.8,1846.0,1846.1,9.5994,17.0,1847.6038905557
ETH/USD,2023-05-10 07:20:00+00:00,1845.98,1845.98,1845.7,1845.7,0.4221,3.0,1845.8893627103
ETH/USD,2023-05-10 07:22:00+00:00,1845.7,1845.7,1845.14,1845.14,0.1693,4.0,1845.2524630833
ETH/USD,2023-05-10 07:23:00+00:00,1845.06,1845.06,1842.92,1842.99,1.7823,11.0,1843.7869718903
ETH/USD,2023-05-10 07:24:00+00:00,1843.31,1843.38,1843.31,1843.38,0.7352,2.0,1843.3575299238
ETH/USD,2023-05-10 07:25:00+00:00,1844.19,1844.19,1844.19,1844.19,0.6357,2.0,1844.19
ETH/USD,2023-05-10 07:26:00+00:00,1843.6,1844.17,1843.6,1843.83,1.6353,9.0,1843.9095480952
ETH/USD,2023-05-10 07:27:00+00:00,1844.16,1844.16,1843.48,1843.99,1.9041,7.0,1843.8062670028
ETH/USD,2023-05-10 07:28:00+00:00,1844.15,1844.15,1843.66,1843.66,1.5155,3.0,1843.8654734411
ETH/USD,2023-05-10 07:29:00+00:00,1843.62,1843.62,1843.62,1843.62,0.0162,1.0,1843.62
ETH/USD,2023-05-10 07:30:00+00:00,1842.97,1842.97,1842.28,1842.28,0.3088,2.0,1842.5284715026
ETH/USD,2023-05-10 07:31:00+00:00,1843.79,1845.01339778,1842.85,1842.85,1.5078,6.0,1843.2072826489
ETH/USD,2023-05-10 07:32:00+00:00,1843.85,1843.85,1843.85,1843.85,0.02,1.0,1843.85
ETH/USD,2023-05-10 07:33:00+00:00,1842.6,1843.33,1842.6,1843.33,0.0283,2.0,1842.6283745583
ETH/USD,2023-05-10 07:34:00+00:00,1842.71,1842.71,1842.71,1842.71,0.0081,1.0,1842.71
ETH/USD,2023-05-10 07:35:00+00:00,1842.47,1842.49,1842.47,1842.49,1.55,2.0,1842.4796774194
ETH/USD,2023-05-10 07:36:00+00:00,1842.91,1842.91,1842.91,1842.91,0.8,1.0,1842.91
ETH/USD,2023-05-10 07:37:00+00:00,1842.74,1842.74,1841.89,1841.89,1.291,8.0,1842.1878303641
ETH/USD,2023-05-10 07:38:00+00:00,1842.41,1842.41,1842.41,1842.41,0.925,1.0,1842.41
ETH/USD,2023-05-10 07:39:00+00:00,1841.87,1842.1,1841.81,1842.1,1.6183,4.0,1841.9538423037
ETH/USD,2023-05-10 07:40:00+00:00,1842.67,1842.67,1842.67,1842.67,0.75,1.0,1842.67
ETH/USD,2023-05-10 07:41:00+00:00,1842.64,1842.64,1842.64,1842.64,0.0177,1.0,1842.64
ETH/USD,2023-05-10 07:43:00+00:00,1842.86,1842.86,1842.86,1842.86,0.0169,1.0,1842.86
ETH/USD,2023-05-10 07:45:00+00:00,1842.66,1842.99,1842.44,1842.99,1.3811,6.0,1842.8977930635
ETH/USD,2023-05-10 07:46:00+00:00,1843.52,1844.11,1843.42,1843.69,1.3003,8.0,1843.6814165962
ETH/USD,2023-05-10 07:47:00+00:00,1843.71,1843.81,1843.71,1843.8,1.6556,3.0,1843.7670488041
ETH/USD,2023-05-10 07:48:00+00:00,1843.04,1843.87,1843.04,1843.87,0.0474,2.0,1843.1853375527
ETH/USD,2023-05-10 07:50:00+00:00,1843.28,1843.84,1842.82,1843.84,1.276,6.0,1843.3150297806
ETH/USD,2023-05-10 07:51:00+00:00,1843.51,1843.86,1843.51,1843.86,1.062,4.0,1843.596346516
ETH/USD,2023-05-10 07:52:00+00:00,1843.55,1843.55,1842.14,1842.14,1.3371,4.0,1842.5500007479
ETH/USD,2023-05-10 07:53:00+00:00,1842.7,1843.22,1842.69,1842.69,5.8759,10.0,1842.7960659644
ETH/USD,2023-05-10 07:54:00+00:00,1842.78,1842.78,1842.1,1842.1,0.6813,4.0,1842.1219316014
ETH/USD,2023-05-10 07:55:00+00:00,1842.07,1842.1,1841.99,1842.1,0.771,3.0,1842.0287833982
ETH/USD,2023-05-10 07:56:00+00:00,1841.76,1842.27,1841.29,1842.27,2.097,11.0,1841.798475918
ETH/USD,2023-05-10 07:57:00+00:00,1842.77,1842.77,1842.14,1842.14,0.3548,3.0,1842.1747096956
ETH/USD,2023-05-10 07:58:00+00:00,1841.21,1841.21,1841.12,1841.19,1.9117,8.0,1841.1903217032
